# Pairing-code vectors. Generated once; both implementations are tested against them.
# See receiver/src/pairing.rs for what the numbers mean.
# code,address,port
314159265,192.168.0.0,47811
913250504,192.168.0.1,47811
047304711,192.168.1.1,47811
335618795,192.168.1.42,47811
523543102,192.168.1.42,47812
746884637,192.168.1.42,47818
936931951,192.168.255.255,47811
636042391,172.16.0.0,47811
034687095,172.20.10.3,47811
759089031,172.31.255.255,47818
948924439,10.0.0.0,47811
744795558,10.0.0.5,47814
381992030,10.42.7.199,47811
218591101,10.255.255.255,47818
